formattedTime-value
Jan 1, 2015 at 7:00 AM-42.625
Jan 2, 2015 at 7:00 AM-45.208333333333336
Jan 3, 2015 at 7:00 AM-50.708333333333336
Jan 4, 2015 at 7:00 AM-61.541666666666664
Jan 5, 2015 at 7:00 AM-58.333333333333336
Jan 6, 2015 at 7:00 AM-64.58333333333333
Jan 7, 2015 at 7:00 AM-50.75
Jan 8, 2015 at 7:00 AM-39.416666666666664
Jan 9, 2015 at 7:00 AM-37.75
Jan 10, 2015 at 7:00 AM-35.125
Jan 11, 2015 at 7:00 AM-33.708333333333336
Jan 12, 2015 at 7:00 AM-33.25
Jan 13, 2015 at 7:00 AM-41.958333333333336
Jan 14, 2015 at 7:00 AM-62.791666666666664
Jan 15, 2015 at 7:00 AM-67.25
Jan 16, 2015 at 7:00 AM-56.0
Jan 17, 2015 at 7:00 AM-45.416666666666664
Jan 18, 2015 at 7:00 AM-43.583333333333336
Jan 19, 2015 at 7:00 AM-42.083333333333336
Jan 20, 2015 at 7:00 AM-38.625
Jan 21, 2015 at 7:00 AM-43.458333333333336
Jan 22, 2015 at 7:00 AM-44.291666666666664
Jan 23, 2015 at 7:00 AM-45.0
Jan 24, 2015 at 7:00 AM-42.583333333333336
Jan 25, 2015 at 7:00 AM-44.666666666666664
Jan 26, 2015 at 7:00 AM-67.08333333333333
Jan 27, 2015 at 7:00 AM-53.25
Jan 28, 2015 at 7:00 AM-52.75
Jan 29, 2015 at 7:00 AM-64.54166666666667
Jan 30, 2015 at 7:00 AM-57.291666666666664
Jan 31, 2015 at 7:00 AM-52.625
Feb 1, 2015 at 7:00 AM-55.791666666666664
Feb 2, 2015 at 7:00 AM-51.625
Feb 3, 2015 at 7:00 AM-59.666666666666664
Feb 4, 2015 at 7:00 AM-54.166666666666664
Feb 5, 2015 at 7:00 AM-47.541666666666664
Feb 6, 2015 at 7:00 AM-44.958333333333336
Feb 7, 2015 at 7:00 AM-55.625
Feb 8, 2015 at 7:00 AM-54.208333333333336
Feb 9, 2015 at 7:00 AM-52.958333333333336
Feb 10, 2015 at 7:00 AM-56.25
Feb 11, 2015 at 7:00 AM-47.958333333333336
Feb 12, 2015 at 7:00 AM-51.0
Feb 13, 2015 at 7:00 AM-46.208333333333336
Feb 14, 2015 at 7:00 AM-47.416666666666664
Feb 15, 2015 at 7:00 AM-46.583333333333336
Feb 16, 2015 at 7:00 AM-51.833333333333336
Feb 17, 2015 at 7:00 AM-49.208333333333336
Feb 18, 2015 at 7:00 AM-46.916666666666664
Feb 19, 2015 at 7:00 AM-11.875
Feb 20, 2015 at 7:00 AM-19.791666666666668
Feb 21, 2015 at 7:00 AM-11.833333333333334
Feb 22, 2015 at 7:00 AM-10.916666666666666
Feb 23, 2015 at 7:00 AM-10.708333333333334
Feb 24, 2015 at 7:00 AM-10.791666666666666
Feb 25, 2015 at 7:00 AM-10.041666666666666
Feb 26, 2015 at 7:00 AM-43.208333333333336
Feb 27, 2015 at 7:00 AM-45.208333333333336
Feb 28, 2015 at 7:00 AM-40.0
Mar 1, 2015 at 7:00 AM-42.125
Mar 2, 2015 at 7:00 AM-48.041666666666664
Mar 3, 2015 at 7:00 AM-47.125
Mar 4, 2015 at 7:00 AM-46.5
Mar 5, 2015 at 7:00 AM-49.375
Mar 6, 2015 at 7:00 AM-55.333333333333336
Mar 7, 2015 at 7:00 AM-57.166666666666664
Mar 8, 2015 at 7:00 AM-49.416666666666664
Mar 9, 2015 at 7:00 AM-51.458333333333336
Mar 10, 2015 at 7:00 AM-56.916666666666664
Mar 11, 2015 at 7:00 AM-51.958333333333336
Mar 12, 2015 at 7:00 AM-55.375
Mar 13, 2015 at 7:00 AM-54.0
